TextSize,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100
1000,0.000007000,0.000005000,0.000006000,0.000005000,0.000005000,0.000005000,0.000005000,0.000005000,0.000005000,0.000006000
2000,0.000009000,0.000009000,0.000010000,0.000010000,0.000010000,0.000009000,0.000011000,0.000010000,0.000010000,0.000009000
3000,0.000014000,0.000014000,0.000015000,0.000014000,0.000015000,0.000014000,0.000015000,0.000015000,0.000015000,0.000014000
4000,0.000020000,0.000018000,0.000019000,0.000019000,0.000019000,0.000030000,0.000020000,0.000018000,0.000020000,0.000019000
5000,0.000026000,0.000023000,0.000025000,0.000023000,0.000024000,0.000024000,0.000024000,0.000023000,0.000025000,0.000022000
6000,0.000028000,0.000027000,0.000030000,0.000027000,0.000029000,0.000029000,0.000029000,0.000027000,0.000030000,0.000027000
7000,0.000033000,0.000031000,0.000035000,0.000032000,0.000035000,0.000031000,0.000034000,0.000033000,0.000034000,0.000034000
8000,0.000038000,0.000037000,0.000038000,0.000036000,0.000039000,0.000037000,0.000039000,0.000037000,0.000039000,0.000037000
9000,0.000042000,0.000042000,0.000047000,0.000045000,0.000048000,0.000044000,0.000044000,0.000041000,0.000045000,0.000041000
10000,0.000046000,0.000046000,0.000047000,0.000046000,0.000047000,0.000046000,0.000048000,0.000046000,0.000048000,0.000046000
